Node_ID,x_int,y_int
375,160779,382340
376,236126,311371
377,182092,171626
378,184227,199845
379,191970,108637
380,169202,381417
381,29557,287787
382,55326,301396
383,107803,340751
384,154197,302479
385,85528,259401
386,236010,403597
387,234591,70969
388,130007,306345
389,126668,360725
390,185551,122168
391,97455,411722
392,63918,155992
393,206526,155858
394,90800,190372
395,187888,264306
396,177545,186125
397,15400,329689
398,16677,130337
399,131978,366658
400,100350,261586
401,193431,280200
402,82340,396568
403,37859,13107
404,217030,387726
405,205600,231405
406,174772,286182
407,166240,257335
408,74421,111497
409,109615,236310
410,76721,84659
411,13037,66268
412,205445,246806
413,139128,251121
414,237123,134622
415,193217,205205
416,62518,141469
417,211246,312877
418,51429,144232
419,149152,24066
420,44235,399781
421,239996,122062
422,29755,131112
423,169404,79089
424,57247,-1687
425,175246,283163
426,226682,76389
427,52703,385227
428,167746,32684
429,87415,379776
430,86024,78888
431,229155,167721
432,150319,314196
433,20867,289882
434,121216,335925
435,170073,16274
436,139526,274428
437,247614,341808
438,46158,60574
439,171067,400833
440,36306,264260
441,80561,49042
442,179081,27794
443,165468,422707
444,145737,110108
445,58264,42329
446,99993,334372
447,12787,354143
448,65474,397751
449,51026,103218
450,199494,321855
451,94659,55069
452,183737,62929
453,14640,180727
454,149725,316608
455,37485,422598
456,80368,58281
457,244420,373718
458,113636,304962
459,220564,367535
460,228720,177078
461,243400,117469
462,23700,170342
463,78382,206749
464,116426,63110
465,170242,41851
466,157332,343343
467,219075,96157
468,118844,249340
469,53067,415356
470,203052,257073
471,77701,171301
472,155923,352678
473,81515,340310
474,94451,74383
475,66730,129140
476,60112,174460
477,112976,-1151
478,164609,86962
479,222966,421032
480,17768,181946
481,235228,5499
482,13115,178757
483,4231,134203
484,51894,379943
485,120541,268453
486,59688,13064
487,80376,246330
488,175386,146346
489,94561,401057
490,177021,142701
491,84177,253862
492,12798,307851
493,141487,239206
494,222132,300905
495,100165,33658
496,54683,360954
497,178622,367725
498,81080,332826
499,111859,167192
500,154780,197467
501,27395,219846
502,99534,263904
503,115424,192773
504,229999,149259
505,150718,58338
506,17391,29249
507,25193,104471
508,113104,208925
509,148529,349399
510,147930,255639
511,201694,309094
512,18947,191325
513,77628,70785
514,113266,51147
515,242908,341167
516,63809,302897
517,164287,43896
518,53708,28526
519,159539,69597
520,218712,39271
521,41489,307133
522,222039,256091
523,162034,304851
524,76591,44886
525,151718,318472
526,215469,206419
527,247680,107127
528,41961,372391
529,210882,337715
530,68717,137578
531,153353,206226
532,175619,403438
533,154523,126724
534,181177,61255
535,217863,299334
536,130211,8637
537,77658,327992
538,181044,11938
539,171331,345
540,153297,294976
541,177695,393758
542,85748,8888
543,215277,379757
544,189854,354617
545,29492,147166
546,6054,253726
547,238756,281497
548,190295,85106
549,244577,306967
550,76326,152472
551,184799,13039
552,35468,40455
553,175887,323495
554,153205,378153
555,142941,407792
556,119489,252678
557,104478,296163
558,232631,86079
559,152609,415109
560,53949,151518
561,20695,330900
562,188088,5851
563,134682,308184
564,14736,388488
565,229198,309061
566,79391,412085
567,132804,41832
568,235338,218247
569,211045,327660
570,110564,118422
571,238411,298937
572,127238,235257
573,185120,202328
574,162010,284118
575,77733,310562
576,226217,138139
577,42063,354362
578,64913,373917
579,4687,395201
580,228287,309410
581,96127,218441
582,55346,263295
583,27383,422201
584,139974,148336
585,95315,349304
586,125016,378063
587,3973,108811
588,38987,291884
589,245318,162563
590,44892,374393
591,48900,9634
592,200934,233655
593,176127,-747
594,105637,174486
595,151882,91058
596,235879,408271
597,77852,225799
598,141677,13312
599,22078,58428
600,184538,47878
601,148312,234117
602,136361,168875
603,115185,127064
604,42886,193139
605,192612,144265
606,39091,226031
607,25773,63956
608,49459,97046
609,64952,304192
610,18093,263081
611,215016,428240
612,130129,265952
613,121315,366996
614,220514,58224
615,242909,376339
616,230812,230655
617,116180,148729
618,75745,331896
619,94752,246452
620,223701,382520
621,221882,165390
622,92351,290509
623,204757,22835
624,30517,65504
625,64474,186150
626,70522,429896
627,164258,364169
628,5179,276601
629,69535,418048
630,92212,372749
631,220401,428177
632,168846,246358
633,149629,408707
634,147815,132795
635,222549,367374
636,13603,37785
637,210413,10213
638,6983,310230
639,46991,57273
640,94298,177814
641,14132,252751
642,63529,72770
643,232357,177894
644,225909,12959
645,90460,344413
646,159997,192434
647,95141,410291
648,76593,105096
649,55178,380793
650,166939,82890
651,118973,275953
652,26198,172885
653,209011,319635
654,184625,167918
655,75670,359648
656,97899,326492
657,56179,327859
658,212818,108672
659,93750,389667
660,134962,371858
661,36942,244727
662,110496,83989
663,223226,228270
664,49881,153835
665,166745,155686
666,98552,164770
667,243824,107427
668,22039,48698
669,34282,344401
670,146693,4690
671,18313,403956
672,85808,41304
673,227667,247938
674,185230,315697
675,155235,251328
676,191951,216807
677,2708,26016
678,210357,232149
679,125174,293998
680,8874,177749
681,221204,119653
682,65279,356550
683,142914,22341
684,54304,327437
685,76194,123834
686,182824,325155
687,87835,372602
688,214615,137277
689,121412,265346
690,162847,14607
691,230228,235623
692,4635,367382
693,81552,18975
694,137780,218778
695,204465,74942
696,204838,406291
697,12594,201474
698,109964,418126
699,41208,359397
700,174106,424124
701,3331,138329
702,3038,115114
703,247359,351286
704,221059,62954
705,144070,30147
706,38632,121540
707,40461,186402
708,155741,128257
709,208335,351092
710,182284,139379
711,89791,356679
712,37052,384384
713,161906,136533
714,50272,105292
715,104171,131328
716,149885,402814
717,202903,900
718,81453,346934
719,23453,406553
720,225268,11152
721,157170,388531
722,185627,14251
723,14780,351969
724,148514,167658
725,73680,166058
726,91991,276018
727,58861,247592
728,237153,244330
729,53854,5916
730,227539,25851
731,107054,375019
732,152032,430675
733,37214,378543
734,114159,405948
735,76642,205516
736,136267,353780
737,100957,181189
738,162821,274600
739,183286,264893
740,10284,46053
741,50491,33600
742,62961,76510
743,50437,254468
744,246564,160881
745,94063,187694
746,39603,180198
747,36173,265745
748,219767,124378
749,185996,128141
750,90800,422883
751,223551,170095
752,10428,191855
753,179861,322739
754,165086,344170
755,201506,287695
756,76250,9167
757,122636,444
758,142846,67009
759,141576,323927
760,225904,124058
761,161032,255382
762,103739,203423
763,233158,121697
764,12356,363103
765,188586,246968
766,140203,240808
767,241414,45319
768,103182,154103
769,15533,180998
770,166368,287640
771,22147,358439
772,197546,228567
773,147335,129533
774,9026,128223
775,245060,325577
776,109378,272306
777,105312,49836
778,219690,418347
779,128645,342226
780,105823,155293
781,71489,235039
782,45549,160401
783,44874,388518
784,110492,314375
785,95874,346018
786,74941,376628
787,110762,416459
788,201841,91371
789,228988,264607
790,235168,225623
791,191710,72097
792,85525,111693
793,28151,258990
794,33752,190492
795,130133,285963
796,138696,228963
797,17058,373085
798,210867,427472
799,13150,305252
800,36033,376086
801,217375,207326
802,70904,360397
803,177653,182019
804,245355,308009
805,9490,265066
806,153524,377988
807,208397,358182
808,29759,11505
809,149911,189023
810,90909,164128
811,56213,413311
812,100465,419327
813,24564,344944
814,14288,65501
815,89730,266354
816,35832,198870
817,38580,91425
818,195805,273249
819,22899,245467
820,155609,187338
821,244212,44133
822,121126,172544
823,129269,197178
824,180539,333471
825,60967,416704
826,213392,39328
827,117147,280542
828,60588,80551
829,198203,273660
830,208660,68829
831,33480,322612
832,65669,387249
833,112019,273181
834,9523,227840
835,221840,417575
836,174569,325098
837,65697,221794
838,91694,218013
839,116778,426013
840,97977,287174
841,18627,38650
842,25605,401280
843,112155,273034
844,16894,329022
845,173796,190851
846,147565,31619
847,93276,31919
848,199950,67208
849,212727,196407
850,139128,241506
851,82413,398735
852,43669,34397
853,213802,242569
854,94516,35801
855,123001,287335
856,205405,277581
857,85106,157758
858,217774,118872
859,170851,234402
860,225722,59205
861,161099,338119
862,2492,63317
863,174629,7719
864,170726,230876
865,174870,154044
866,35480,374575
867,245135,313096
868,211541,117651
869,157168,-1894
870,211036,399323
871,159473,291798
872,189641,362832
873,140277,152549
874,187323,199756
875,135873,190041
876,165980,11667
877,17624,332646
878,167839,160333
879,189755,242435
880,28049,235068
881,198074,57179
882,155960,89318
883,118705,162434
884,65459,84978
885,50299,296537
886,246514,343470
887,56845,319832
888,187844,-743
889,51686,210203
890,195831,208336
891,233400,166372
892,212014,164218
893,53739,1418
894,25551,88544
895,235255,311547
896,177496,81146
897,193824,156116
898,164631,270347
899,138393,71376
900,211558,27085
901,188465,422408
902,51699,270105
903,123504,306115
904,106303,29764
905,86013,20281
906,156939,129870
907,100127,73636
908,191622,259316
909,104472,178545
910,182248,82290
911,12244,94567
912,35464,139086
913,53604,46783
914,99913,347117
915,57290,271989
916,171359,212224
917,37919,224024
918,98899,242190
919,11443,96572
920,17691,24035
921,99299,157384
922,57203,222558
923,37020,161345
924,175300,21772
925,232764,244636
926,5143,378525
927,95774,232828
928,100450,90785
929,207984,303188
930,120698,348684
931,92134,40109
932,108392,151376
933,132440,293685
934,122261,51107
935,7739,194128
936,137708,135177
937,114140,123536
938,150238,134796
939,29525,67056
940,118587,389295
941,216794,135795
942,211266,145406
943,78190,305185
944,147000,163028
945,185657,63699
946,246627,80804
947,38606,193645
948,71221,380681
949,71621,95989
950,138608,290366
951,204155,113853
952,36905,257445
953,76222,33349
954,24743,416483
955,206977,96963
956,135860,85405
957,187242,343161
958,130193,40784
959,151158,189935
960,75904,355315
961,202411,25205
962,66416,289470
963,237058,72156
964,190650,341633
965,220915,116682
966,171639,226286
967,74018,287927
968,166132,154092
969,92388,381574
970,150268,223554
971,45336,157768
972,73754,200530
973,85918,426204
974,73851,412522
975,78889,324745
976,163780,387461
977,74464,20912
978,184108,281234
979,201602,18124
980,30196,302366
981,214609,151479
982,201220,337732
983,25276,423228
984,121762,30002
985,175571,361153
986,79672,263149
987,135189,340775
988,53732,401781
989,130370,338092
990,47670,264670
991,125908,315285
992,129629,406873
993,97869,401990
994,75050,426887
995,207173,326567
996,190409,127654
997,216948,331094
998,64704,73864
999,113259,78965
1000,79301,271861
1001,203760,35344
1002,176720,243045
1003,163459,225682
1004,47152,271823
1005,200180,109534
1006,40555,308860
1007,82661,338170
1008,220456,210516
1009,57544,121562
1010,48811,110074
1011,202403,338256
1012,71320,62584
1013,86972,70971
1014,89618,212296
1015,19146,303910
1016,47768,185850
1017,146485,257076
1018,209203,409615
1019,74195,169557
1020,86831,197281
1021,22113,245859
1022,145363,281400
1023,245796,410077
1024,225123,148942
1025,69400,407534
1026,183421,201503
1027,136367,289458
1028,80707,89768
1029,203012,376371
1030,228075,37601
1031,44388,27204
1032,39663,226536
1033,126545,363467
1034,12182,40085
1035,220806,374720
1036,177637,349052
1037,160502,98520
1038,104038,41017
1039,58682,72428
1040,226897,288501
1041,194321,62260
1042,26983,174034
1043,163913,239015
1044,142046,14349
1045,184850,24926
1046,134689,54941
1047,239591,315863
1048,124702,253863
1049,120245,286863
1050,231341,233021
1051,181592,250980
1052,171020,298766
1053,51987,402599
1054,39599,237421
1055,44052,402874
1056,129335,390530
1057,70497,272250
1058,146892,270547
1059,98778,222341
1060,67960,264858
1061,164449,389509
1062,234732,255514
1063,242660,390601
1064,119930,345364
1065,122989,79338
1066,238007,62275
1067,172395,395542
1068,124228,37728
1069,182240,35738
1070,207706,102223
1071,222626,336783
1072,15252,9053
1073,8649,9847
1074,65726,306498
1075,111991,240113
1076,22392,186133
1077,108353,294837
1078,66350,92402
1079,154497,150536
1080,201346,395332
1081,171436,134873
1082,201750,21425
1083,133750,270444
1084,182624,341314
1085,128438,5292
1086,74011,371723
1087,225995,255699
1088,127831,289783
1089,36910,159015
1090,33422,275328
1091,157618,68273
1092,68613,275029
1093,83299,165368
1094,96521,316639
1095,26959,25942
1096,168151,147361
1097,39197,9817
1098,139555,129024
1099,195376,30036
1100,153439,378576
1101,180505,21602
1102,121645,116690
1103,230593,348154
1104,236292,334915
1105,88747,70975
1106,24733,206865
1107,186029,6653
1108,33951,103944
1109,167984,35733
1110,132925,429599
1111,24374,214641
1112,148046,279174
1113,2821,241155
1114,195290,231630
1115,45738,182595
1116,147180,272683
1117,15320,318573
1118,55857,179787
1119,225682,400788
1120,18969,221574
1121,107994,251858
1122,100448,32303
1123,225942,99861
1124,62010,303682
1125,7400,118312
1126,237770,172112
1127,177524,123124
1128,151198,9875
1129,63526,405713
1130,161627,213044
1131,132469,328983
1132,43293,403514
1133,59939,75192
1134,32728,294993
1135,28149,147029
1136,154218,49296
1137,88100,349980
1138,247208,3799
1139,111282,226050
1140,231938,359350
1141,189688,217819
1142,70402,291420
1143,198936,281024
1144,213782,293580
1145,5650,370368
1146,180952,408023
1147,130771,321997
1148,159341,100778
1149,79562,175838
1150,2566,431342
1151,193939,272753
1152,235490,213509
1153,15842,209198
1154,217923,320433
1155,113906,416410
1156,25266,219549
1157,47011,51821
1158,206450,272283
1159,96062,321092
1160,130913,288308
1161,112692,218479
1162,38935,206575
1163,200028,238744
1164,123335,36599
1165,158116,428805
1166,149501,240881
1167,162114,92774
1168,246038,193773
1169,10679,382404
1170,81231,270542
1171,67644,112216
1172,119109,410751
1173,26401,399256
1174,124599,201946
1175,116009,52417
1176,157464,415488
1177,120885,422637
1178,204673,122666
1179,197065,190666
1180,167895,351206
1181,228224,67501
1182,192552,225661
1183,238934,307164
1184,160753,408298
1185,205761,350117
1186,5391,408434
1187,201412,143744
1188,164510,26857
1189,202601,119959
1190,69845,179800
1191,58063,421820
1192,152463,222256
1193,210317,320263
1194,104562,329063
1195,27385,39253
1196,100009,100378
1197,160904,199115
1198,219747,10804
1199,186003,70953
1200,188049,364288
1201,55886,13302
1202,211837,115082
1203,138689,10942
1204,203182,41621
1205,166922,291327
1206,171610,264999
1207,129518,374938
1208,89214,312183
1209,44725,248378
1210,76697,238126
1211,93526,387328
1212,214523,250493
1213,174743,289875
1214,141017,68815
1215,115056,10622
1216,56351,290456
1217,225688,151999
1218,167957,312448
1219,107683,327779
1220,104349,144806
1221,238132,199179
1222,20123,8957
1223,210941,170886
1224,180331,311236
1225,169406,60958
1226,197102,310530
1227,216568,371403
1228,245245,29889
1229,68743,420661
1230,26236,226752
1231,23348,345746
1232,132489,21585
1233,238820,406466
1234,67146,219209
1235,225436,237511
1236,104993,128129
1237,91781,129293
1238,244716,399877
1239,82117,77342
1240,122119,354380
1241,9581,43630
1242,85580,248870
1243,142775,49095
1244,97735,346277
1245,90060,74170
1246,96630,116023
1247,166610,390142
1248,108643,216182
1249,165175,37616
1250,113793,225866
1251,139218,139536
1252,105830,276068
1253,188663,3069
1254,177064,432042
1255,107828,136871
1256,193828,376144
1257,167884,81060
1258,139009,301874
1259,30590,306233
1260,210718,232080
1261,165489,135002
1262,162012,330631
1263,185319,309828
1264,228403,110789
1265,166612,27069
1266,18081,206885
1267,132632,378483
1268,183207,243599
1269,180050,238885
1270,178372,120293
1271,8891,300908
1272,92457,163149
1273,64374,153737
1274,173954,325013
1275,55106,39527
1276,13725,199363
1277,246751,293408
1278,234355,27896
1279,187776,63277
1280,55785,224914
1281,89302,287728
1282,239516,92004
1283,25356,85556
1284,156620,24681
1285,156871,390399
1286,116366,280423
1287,98735,308606
1288,138044,241898
1289,143254,355750
1290,194497,400084
1291,190027,69331
1292,28217,101025
1293,121756,262676
1294,37229,170127
1295,27571,282202
1296,96576,151525
1297,246032,47410
1298,75238,318813
1299,142049,266636
1300,34691,357942
1301,68188,220790
1302,166938,102454
1303,133956,15615
1304,113926,188655
1305,11128,346527
1306,142763,232979
1307,133246,81618
1308,164843,348742
1309,81675,201727
1310,205328,345212
1311,94276,272892
1312,15690,307408
1313,216586,124148
1314,28031,329793
1315,106412,126020
1316,50386,121130
1317,191506,1207
1318,169038,396009
1319,109741,331178
1320,228054,408610
1321,134601,294735
1322,171945,328664
1323,56531,344763
1324,214133,186107
1325,202074,222483
1326,146410,140835
1327,157695,77323
1328,23004,259531
1329,130159,265213
1330,166401,292603
1331,138558,222732
1332,183389,414900
1333,174372,399217
1334,16797,98226
1335,205408,-458
1336,173769,215009
1337,78339,406747
1338,28157,248969
1339,245675,397780
1340,235622,100819
1341,124843,80310
1342,226850,67699
1343,149481,307805
1344,152281,261647
1345,115273,321372
1346,126962,27855
1347,140164,152310
1348,150236,53945
1349,182866,327970
1350,100018,35135
1351,121011,431026
1352,19407,228152
1353,112002,353586
1354,120476,150013
1355,55780,16296
1356,126881,121576
1357,136638,117936
1358,74339,359034
1359,38558,369556
1360,53829,184730
1361,40886,120797
1362,17094,324165
1363,168454,356753
1364,67667,35897
1365,199463,248878
1366,102077,207452
1367,42250,106331
1368,106176,346650
1369,124320,234353
1370,95113,204635
1371,204800,66266
1372,51044,33191
1373,208952,230869
1374,8861,44438
1375,230552,293818
1376,126004,344043
1377,45710,152332
1378,122249,313571
1379,7197,422600
1380,169277,61853
1381,169438,281787
1382,243817,270837
1383,75174,117599
1384,185174,369576
1385,9269,131439
1386,70232,116843
1387,99417,242204
1388,107833,390854
1389,31316,112560
1390,241568,367507
1391,25670,106926
1392,9246,69864
1393,89229,56508
1394,186617,8996
1395,121511,140247
1396,210233,16722
1397,8330,22192
1398,62458,161355
1399,33020,257146
1400,117712,330897
1401,149674,320368
1402,234705,351383
1403,246138,346008
1404,192590,166390
1405,138592,59528
1406,78575,106675
1407,112374,237235
1408,202077,247181
1409,192747,68781
1410,191722,53258
1411,102346,244422
1412,107979,362280
1413,7998,175413
1414,119435,154629
1415,59852,191230
1416,174777,415059
1417,100393,264520
1418,118477,117136
1419,181411,187278
1420,221998,414789
1421,115267,57319
1422,123231,262836
1423,185747,155822
1424,187674,341077
1425,69632,222440
1426,102727,83653
1427,201074,138596
1428,116008,97989
1429,124615,10809
1430,115110,410426
1431,12950,394752
1432,17080,70260
1433,80558,72087
1434,84171,201439
1435,196700,79909
1436,213589,225613
1437,163645,111007
1438,68540,283496
1439,222129,210474
1440,140037,356133
1441,26409,40077
1442,136618,94465
1443,212060,189203
1444,227057,400593
1445,163476,31718
1446,170124,5527
1447,165175,258304
1448,168531,187597
1449,233686,154735
1450,147501,385795
1451,243357,347395
1452,159673,276159
1453,164207,362415
1454,130783,37965
1455,148417,227143
1456,148922,23194
1457,230645,283281
1458,127163,337488
1459,148179,115204
1460,233256,408766
1461,152258,238558
1462,76562,335479
1463,33063,96156
1464,119216,191392
1465,71246,349089
1466,78452,253196
1467,224546,209583
1468,27609,39426
1469,141899,114316
1470,153242,392646
1471,101601,161286
1472,144047,99720
1473,57710,394063
1474,138294,390629
1475,67729,171035
1476,97894,207148
1477,247292,402700
1478,53177,44776
1479,23965,24196
1480,247551,139915
1481,186001,314463
1482,181895,396759
1483,128538,127898
1484,242388,217310
1485,224755,303398
1486,245861,279614
1487,30845,300512
1488,103744,34750
1489,186618,348988
1490,105390,346363
1491,6159,404917
1492,227778,414155
1493,125923,229934
1494,155489,36692
1495,100430,410107
1496,175047,361164
1497,124439,236343
1498,29979,350762
1499,215694,254127
1500,83046,69004
1501,121768,4856
1502,205346,388812
1503,27701,97806
1504,98362,185845
1505,45991,46686
1506,62270,335021
1507,202044,4048
1508,233704,168539
1509,50049,4551
1510,102260,208364
1511,48415,100903
1512,215126,334410
1513,152331,92687
1514,147400,62005
1515,61285,243217
1516,91564,27283
1517,28727,44488
1518,41273,30096
1519,7285,20224
1520,19026,233727
1521,20268,404088
1522,201877,103680
1523,45347,342497
1524,156624,121436
1525,236030,358908
1526,34026,164515
1527,206160,285538
1528,70528,51834
1529,19044,345778
1530,99661,51438
1531,23179,73795
1532,70398,305214
1533,176465,127792
1534,48909,365914
1535,43105,26481
1536,136786,211816
1537,35827,47244
1538,45222,100667
1539,164664,54978
1540,103773,48450
1541,89625,218785
1542,134055,57049
1543,245082,196143
1544,210063,37375
1545,73248,162670
1546,72409,59317
1547,124708,171065
1548,200208,319558
1549,190966,11965
1550,234156,235191
1551,58643,105493
1552,230235,297712
1553,27395,380879
1554,100541,301574
1555,232923,109337
1556,107781,10402
1557,205205,142322
1558,180960,324925
1559,171530,100369
1560,124154,307706
1561,4776,249519
1562,73813,28132
1563,38725,374475
1564,150437,52449
1565,2561,306348
1566,85898,229723
1567,229424,145307
1568,64317,299596
1569,157889,329151
1570,217645,69817
1571,158073,161634
1572,157901,4135
1573,77098,345146
1574,39371,80681
1575,95118,154738
1576,115010,314960
1577,64765,68113
1578,18711,377673
1579,149039,15079
1580,200854,282545
1581,26536,267765
1582,108182,330070
1583,60028,416955
1584,11177,373306
1585,32809,309460
1586,207259,384579
1587,132813,328209
1588,238268,374961
1589,102898,400044
1590,208429,207138
1591,109677,69148
1592,146554,325635
1593,212308,322557
1594,73046,249745
1595,118777,101263
1596,160792,198645
1597,72664,305041
1598,42764,17232
1599,154911,277275
1600,135590,191573
1601,176304,363452
1602,244932,28646
1603,215755,188179
1604,152225,107771
1605,63577,395322
1606,224065,165987
1607,133501,220533
1608,128554,227401
1609,38222,405556
1610,140705,177736
1611,180874,424847
1612,59069,261515
1613,81773,118912
1614,225020,355169
1615,236995,97658
1616,184071,188684
1617,167498,174364
1618,55353,282327
1619,182121,312737
1620,193687,364201
1621,85230,148177
1622,36036,274328
1623,3023,337330
1624,114187,32848
1625,217074,222677
1626,16484,344820
1627,210752,329724
1628,82235,49385
1629,103215,75087
1630,27610,3322
1631,71137,285648
1632,21753,82382
1633,154998,213019
1634,196726,125106
1635,82426,270598
1636,76034,368397
1637,189230,239337
1638,129551,8804
1639,61667,387227
1640,237573,55065
1641,2263,292019
1642,65027,122738
1643,53483,154646
1644,200258,67258
1645,212280,53977
1646,136138,227656
1647,243878,123531
1648,69604,43426
1649,222489,75169
1650,116529,33919
1651,44552,378383
1652,168732,291086
1653,238606,32037
1654,212285,96496
1655,227295,201400
1656,116231,210232
1657,96260,245214
1658,177501,61293
1659,103074,337354
1660,123667,259167
1661,122537,162842
1662,135826,351595
